AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2020,3,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70473,MORROA,N,70473006,TUMBATORO,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25258,EL PEÑÓN,S,25258001,EL PEÑÓN,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68101,BOLÍVAR,N,68101002,BERBEO,S,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73443,MARIQUITA - SAN SEBASTIÁN DE MARIQUITA,N,73443001,EL HATILLO,S,S,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68276,FLORIDABLANCA,N,68276013,RUITOQUE COUNTRY CLUB CONDOMINIO,S,S,S,N,S,N
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,68,SANTANDER,68276,FLORIDABLANCA,N,68276013,RUITOQUE COUNTRY CLUB CONDOMINIO,S,S,S,N,S,N
2020,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,17,CALDAS,17877,VITERBO,S,17877001,VITERBO,S,S,N,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13468,SANTA CRUZ DE MOMPOX,N,13468009,GUATACA,S,S,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15380,LA CAPILLA,S,15380001,LA CAPILLA,S,S,S,N,S,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23815,TUCHÍN,N,23815030,TOLIMA,N,N,N,N,N,N
2020,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,19,CAUCA,19100,BOLÍVAR,S,19100001,BOLÍVAR,S,S,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76869,VIJES,N,76869010,VIDAL,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,5,ANTIOQUIA,5001,MEDELLÍN,N,5001031,POTRERITO,N,N,N,N,N,N
2020,1,COLOMBIA MOVIL  S.A ESP,20,CESAR,20250,EL PASO,N,20250004,CUATRO VIENTOS,S,S,S,N,N,N
2020,1,AVANTEL S.A.S,15,BOYACÁ,15897,ZETAQUIRA,S,15897001,ZETAQUIRA,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76233,DAGUA,N,76233007,EL LIMONAR,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,N,95001023,LA CARPA,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13300,HATILLO DE LOBA,N,13300007,CERRO DE LAS AGUADAS,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17541,PENSILVANIA,N,17541002,BOLIVIA,S,S,S,N,S,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17614,RIOSUCIO,N,17614005,QUIEBRALOMO,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19142,CALOTO,N,0,MORALES ARROZAL,N,N,N,N,N,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13667,SAN MARTÍN DE LOBA,N,13667015,EL JOBO,N,N,N,N,N,N
2020,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76403,LA VICTORIA,N,76403005,RIVERALTA,N,N,N,N,N,N
2020,2,COMUNICACION CELULAR S A COMCEL S A,8,ATLÁNTICO,8832,TUBARÁ,N,8832013,NUEVA ESPERANZA,S,S,S,N,S,N
2020,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15600,RÁQUIRA,N,0,SAN CAYETANO,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23464,MOMIL,N,23464001,SABANETA,N,N,N,N,N,N
2020,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68079,BARICHARA,N,68079001,GUANE,S,S,S,N,N,N
