FECHA;ENERGIA-CONSUMIDA.FEM+ALCO-EXP;LINEAS DE PRODUCCION.LINEA 2.kWh dia;LINEAS DE PRODUCCION.SOLISTICA 3.kWh dia;LINEAS DE PRODUCCION.LINEA 2 - SOL 3.kWh dia;LINEAS DE PRODUCCION.LINEA 3.kWh dia;LINEAS DE PRODUCCION.LINEA 4.kWh dia;LINEAS DE PRODUCCION.LINEA 5.kWh dia;LINEAS DE PRODUCCION.LINEA 6.kWh dia;LINEAS DE PRODUCCION.LINEA 7 B&B AUX FABRICACION.kWh dia;LINEAS DE PRODUCCION.SEPPELEC 1.kWh dia;LINEAS DE PRODUCCION.SEPPELEC 2.kWh dia;LINEAS DE PRODUCCION.ANEKO.kWh dia;LINEAS DE PRODUCCION.PTAR.kWh dia;LINEAS DE PRODUCCION.PTAP.kWh dia;LINEAS DE PRODUCCION.TDF21.7.1 CUARTOS FRIOS.kWh dia;LINEAS DE PRODUCCION.FABRICACION HOTFILL.kWh dia;LINEAS DE PRODUCCION.TORRE DE ENFRIAMIENTO (PTAP).kWh dia;CONSUMO ENERGIAA ELECTRICA POR USUARIOS PIF.CONSUMO TOTAL ENTOCA.kWh dia;CONSUMO ENERGIAA ELECTRICA POR USUARIOS PIF.CONSUMO TOTAL ENERGIAA ELECTRICA FEMSA.INDICADOR.kWh dia;REFRIGERACION.GLICOL AGUA HELADA.Kwh/dia;REFRIGERACION.AGUA CLARIFICADO.Kwh/dia;REFRIGERACION.AGUA  PASTEURIZADO TORRE PASTER 1.Kwh/dia;REFRIGERACION.ENERGIAA ELECTRICA MAYEKAWA.kWh dia;REFRIGERACION.ENERGIAA ELECTRICA CLARIFICADO.kWh dia;REFRIGERACION.TOTAL CLARIFICADO.kTr;REFRIGERACION.TOTAL PASTEURIZADO.kTr;REFRIGERACION.TOTAL MAYEKAWA.kTr;REFRIGERACION.TOTAL REFRIGERACION.kTr;AIRE COMPRIMIDO.GENERACION TOTAL AIRE.KNm3/dia;AIRE COMPRIMIDO.CONSUMO AIRE FEMSA.KNm3/dia;AIRE COMPRIMIDO.ENERGIAA ELECTRICA AIRE TOTAL.kWh/dia;AIRE COMPRIMIDO.ENERGIAA ELECTRICA AIRE FEMSA.kWh/dia;MEDIDORES DE GAS.LINEA MEDIA m3/dia.;LITROS DE BEBIDA.LITROS DE BEBIDA LB.;LITROS DE BEBIDA.LITROS DE BEBIDA LB-ACUMULADO-.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 2.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 3.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 4.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 5.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 6.;DETALLADO PRODUCCION.LITROS DE BEBIDA LB LINEA 7 BIB.
11/11/2025;189.167,20;4.778,00;296;4.482,00;3.949,00;3.497,00;3.446,00;2.700,00;966;1.315,00;673;1.075,00;1.457,00;1.490,00;401;212;460;103.431,00;80.436,30;32.659,06;4.735,09;7.604,15;8.578,61;287,83;1,35;2,16;9,29;12,8;68,13;34,13;8.208,39;4.112,03;39.208,00;2.310.876,27;21.626.702,75;1.072.199,91;237.600,00;254.592,00;630.897,00;60.096,00;0
12/11/2025;181.777,60;4.603,00;287;4.316,00;3.878,00;2.933,00;3.359,00;1.196,00;947;1.027,00;636;1.026,00;1.478,00;1.397,00;396;41;438;101.522,00;75.318,90;29.549,69;4.248,22;664,5;7.752,40;19,82;1,21;0,19;8,4;9,8;60,88;27,3;7.479,45;3.353,96;38.772,00;1.253.028,27;22.879.731,02;933.111,36;216.774,00;232.242,27;549.456,00;80.145,60;0
13/11/2025;187.418,40;4.349,00;432;3.917,00;3.795,00;2.878,00;3.528,00;1.378,00;1.066,00;1.028,00;679;871;1.475,00;1.511,00;407;198;456;99.929,00;82.708,40;29.926,75;3.957,17;4.103,98;8.165,90;127,92;1,13;1,17;8,51;10,8;62,88;28,43;7.414,49;3.352,32;39.139,00;1.859.596,83;24.739.327,85;710.467,47;298.217,37;159.894,00;628.632,00;18.753,60;10.870,00
14/11/2025;174.688,37;4.763,00;303;4.460,00;4.285,00;2.860,00;3.340,00;2.514,00;1.076,00;1.288,00;658;934;888;1.557,00;405;325;484;96.049,00;73.282,27;35.917,28;3.707,96;6.744,87;9.280,40;168,67;1,05;1,92;10,22;13,19;64,08;29,66;7.833,43;3.625,77;39.511,00;2.355.733,77;27.095.061,62;1.136.874,77;369.792,00;157.422,00;630.396,00;51.516,00;18.570,00
15/11/2025;154.850,46;4.819,00;407;4.412,00;4.354,00;2.049,00;2.376,00;476;1.081,00;1.160,00;544;1.262,00;1.495,00;1.386,00;372;11;590;76.443,00;73.599,56;28.949,13;5.758,43;0;7.333,80;0,86;1,64;0;8,23;9,87;59,74;26,44;7.396,11;3.273,40;39.235,00;1.864.937,14;28.959.998,76;984.305,22;391.680,00;98.919,00;363.870,00;123.585,00;26.163,50
16/11/2025;139.552,13;2.596,00;2;2.594,00;2.253,00;3.183,00;3.768,00;168;1.025,00;645;694;1.134,00;1.144,00;1.237,00;337;12;454;68.245,00;69.343,93;26.675,42;5.604,92;0;6.775,40;0,83;1,59;0;7,59;9,18;49,88;22,65;6.129,71;2.783,44;39.505,00;1.758.480,92;30.718.479,68;591.997,62;178.123,20;207.970,10;780.390,00;0;0
17/11/2025;128.818,25;2.724,00;184;2.540,00;2.600,00;2.606,00;2.019,00;157;995;839;547;859;1.359,00;1.313,00;343;10;174;61.321,00;65.061,55;17.425,54;2.202,04;122,88;4.325,80;12,41;0,63;0,03;4,96;5,62;49,39;22,27;6.441,40;2.904,43;35.317,00;1.059.607,14;31.778.086,82;451.896,78;122.907,00;180.306,36;311.904,00;0;0
18/11/2025;158.255,80;4.790,00;427;4.363,00;3.747,00;3.211,00;3.381,00;2.342,00;1.065,00;1.141,00;612;1.063,00;952;1.668,00;398;247;646;73.803,00;79.047,70;30.099,16;3.769,31;5.449,13;7.662,70;143,5;1,07;1,55;8,56;11,18;66,08;30,7;8.095,27;3.760,97;39.991,00;2.070.420,97;33.848.507,79;998.329,67;219.966,00;251.136,00;472.692,00;0;147.426,45
19/11/2025;168.986,56;3.040,00;427;2.613,00;2.590,00;3.159,00;3.500,00;4.184,00;953;914;744;1.194,00;1.365,00;1.408,00;336;354;426;89.431,00;75.096,86;21.334,56;4.400,44;10.586,40;5.537,10;267,14;1,25;3,01;6,07;10,33;56,88;27,68;6.896,76;3.356,23;38.648,00;1.733.527,07;35.582.034,86;506.483,92;252.413,95;243.331,20;575.898,00;71.582,40;0
20/11/2025;187.455,02;4.766,00;404;4.362,00;4.257,00;3.087,00;3.292,00;4.401,00;957;1.128,00;760;1.172,00;1.579,00;1.738,00;338;336;653;102.125,00;81.024,22;27.998,34;5.559,33;11.983,23;6.517,10;273,94;1,58;3,41;7,96;12,95;66,18;30,09;8.137,69;3.699,96;39.233,00;2.336.414,13;37.918.448,99;958.460,73;345.042,00;223.694,00;640.530,00;155.400,00;0
21/11/2025;188.500,17;4.931,00;420;4.511,00;4.363,00;2.886,00;3.485,00;4.731,00;1.232,00;1.321,00;704;1.716,00;1.424,00;1.824,00;367;373;437;100.297,00;82.759,07;28.321,00;5.211,15;10.145,53;7.976,00;294,45;1,48;2,89;8,05;12,42;70,18;32,33;8.445,01;3.890,38;39.458,00;2.662.477,27;40.580.926,26;1.131.010,12;366.336,00;181.262,40;695.004,00;168.687,00;444.254,40
22/11/2025;171.113,82;4.667,00;378;4.289,00;4.220,00;2.944,00;3.509,00;3.159,00;1.098,00;1.125,00;752;1.684,00;1.558,00;1.791,00;335;121;487;86.997,00;79.331,52;27.398,80;6.338,21;1.111,83;7.045,30;77,11;1,8;0,32;7,79;9,91;62,98;29,22;7.776,39;3.607,91;38.584,00;2.288.983,45;42.869.909,71;902.295,69;338.270,40;163.320,36;735.520,00;219.450,00;0
23/11/2025;172.868,24;4.851,00;261;4.590,00;4.001,00;3.067,00;3.269,00;2.268,00;1.075,00;1.340,00;740;1.562,00;1.531,00;1.800,00;388;80;606;84.937,00;83.420,34;30.760,50;4.589,81;1.605,08;7.755,10;182,67;1,31;0,46;8,75;10,51;65,98;31,49;7.805,92;3.725,50;38.879,00;2.222.732,02;45.092.641,73;1.034.272,40;232.051,20;221.140,00;611.962,00;149.577,00;14.495,00
24/11/2025;181.689,09;5.100,00;236;4.864,00;3.992,00;3.212,00;3.441,00;4.240,00;994;1.216,00;652;1.555,00;1.500,00;1.759,00;353;292;483;95.112,00;81.923,19;31.433,70;4.952,42;8.925,17;8.183,00;266,48;1,41;2,54;8,94;12,89;68,18;30,91;8.146,56;3.693,31;30.099,00;2.335.055,13;47.427.696,86;1.202.751,13;229.446,00;275.328,00;489.384,00;73.833,60;4.310,00
25/11/2025;170.519,90;3.896,00;638;3.258,00;3.494,00;2.890,00;3.528,00;2.774,00;1.075,00;993;604;1.548,00;1.452,00;1.553,00;411;236;424;87.797,00;77.053,60;26.780,04;5.256,30;6.463,12;7.344,40;211,22;1,49;1,84;7,62;10,95;66,03;28,67;8.040,38;3.491,11;39.038,00;1.672.921,03;49.100.617,89;580.864,75;253.619,93;151.553,28;583.428,00;133.836,00;20.720,00
